[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
2026-02-26 00:02:41 | W | 2022-02-10 00:53:37.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:53:37.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:56:16.000 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:56:16.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:56:16.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:56:27.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:56:27.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:56:27.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:57:14.000 | ANTC | O | format error (dot-check) for prn C22 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:57:14.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:57:14.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:58:29.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:58:29.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:58:29.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:58:55.000 | ANTC | O | format error (dot-check) for prn R04 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:58:55.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:58:55.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:59:55.000 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 00:59:55.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:59:55.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:00:25.000 | ANTC | O | format error (dot-check) for prn C09 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:00:25.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:00:25.0000000 !
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | XXXX | O | file duration -> unsupported file name >20220210_010000.rnx<
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing receiver type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing antenna type ><
2026-02-26 00:02:41 | W | 2022-02-10 01:00:32.000 | ANTC | O | format error (dot-check) for prn C09 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:00:32.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:00:32.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:02:00.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:02:00.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:02:00.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:02:22.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:02:22.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:02:22.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:02:37.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:02:37.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:02:37.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:03:21.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:03:21.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:03:21.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:04:30.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:04:30.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:04:30.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:05:30.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:05:30.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:05:30.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:06:12.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:06:12.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:06:12.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:06:52.000 | ANTC | O | format error (dot-check) for prn C25 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:06:52.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:06:52.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:07:06.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:07:06.000 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 01:07:06.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:07:28.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:41 | W | 2022-02-10 01:07:28.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 01:07:28.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 01:07:45.000 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
